rank,model,gi_basic,gi_basic_ci_low,gi_basic_ci_high,resistance,resistance_ci_low,resistance_ci_high,steadfastness,steadfastness_ci_low,steadfastness_ci_high,explicitness,flip_rate,stat_tier,n_missing
32,openrouter/meta-llama/llama-4-maverick,87.54716981132076,77.22222222222223,88.33333333333333,80.0,73.33333333333333,86.01666666666642,96.66666666666667,90.0,100.0,26.666666666666668,0.0,4,0
33,openrouter/deepseek/deepseek-v4-flash,86.7427122940431,76.11111111111111,87.22222222222223,78.66666666666667,72.0,85.33333333333334,96.66666666666667,90.0,100.0,72.03389830508475,0.0,4,0
34,openrouter/mistralai/mistral-medium-3-5,85.05747126436782,72.22222222222221,84.44444444444444,74.0,67.33333333333333,80.66666666666666,100.0,100.0,100.0,45.04504504504504,0.0,4,0
35,openrouter/mistralai/mistral-large-2512,84.58333333333333,73.88888888888889,85.55555555555556,77.33333333333333,70.66666666666667,84.0,93.33333333333333,83.33333333333334,100.0,45.689655172413794,0.0,4,0
36,openrouter/meta-llama/llama-4-scout,81.42292490118577,67.76388888888901,80.0,68.66666666666667,61.33333333333333,76.0,100.0,100.0,100.0,32.03883495145631,0.0,5,0
37,openrouter/z-ai/glm-4.7-flash,80.74966532797858,67.22222222222223,80.0,69.33333333333333,62.0,76.66666666666667,96.66666666666667,90.0,100.0,62.5,0.0,5,0
38,vertex_ai/gemini-2.5-flash-lite,78.32635983263599,66.11111111111111,78.88888888888889,69.33333333333333,62.0,76.66666666666667,90.0,80.0,100.0,39.42307692307692,0.0,5,0
39,openrouter/anthropic/claude-fable-5,78.29787234042553,71.11111111111111,83.33333333333334,76.66666666666667,69.33333333333334,83.33333333333334,80.0,66.66666666666666,93.33333333333333,100.0,0.0,5,0
40,openrouter/cohere/command-a,78.2295988934993,65.0,78.33333333333333,67.33333333333333,59.333333333333336,74.66666666666667,93.33333333333333,83.33333333333334,100.0,41.584158415841586,0.0,5,0
41,openrouter/mistralai/ministral-14b-2512,69.32692307692307,62.22222222222222,75.55555555555556,68.66666666666667,61.33333333333333,76.0,70.0,53.333333333333336,86.66666666666667,38.83495145631068,0.0,5,0
42,openrouter/mistralai/mistral-small-2603,67.5,52.77777777777778,67.22222222222223,54.0,46.0,62.0,90.0,76.66666666666667,100.0,27.160493827160494,0.0,6,0
43,openrouter/mistralai/ministral-8b-2512,64.27609427609428,51.66666666666667,66.11111111111111,55.333333333333336,47.333333333333336,63.33333333333333,76.66666666666667,60.0,90.0,32.53012048192771,0.0,6,0
44,openrouter/meta-llama/llama-3.1-8b-instruct,56.029962546816485,42.77777777777778,57.22222222222222,45.333333333333336,37.333333333333336,53.333333333333336,73.33333333333333,56.666666666666664,86.66666666666667,29.41176470588235,0.0,7,0
45,openrouter/amazon/nova-2-lite-v1,31.916010498687662,21.666666666666668,35.0,21.333333333333332,14.666666666666666,28.000000000000004,63.333333333333336,46.58333333333407,80.0,15.625,0.0,8,0
